endpoint,endpoint_label,unit,family,link,endpoint_tier,term,label,order,coef,se,z,p_link,link_contrast,link_lo,link_hi,link_exp,link_exp_lo,link_exp_hi,link_meaning,ci_excludes_null,effect,eff_lo,eff_hi,scale,p_response,p_test,tier,p_holm,significant,verdict,structural
n_engineered_features_selected,Engineered features selected,features,poisson,log,requested,A,model,main,0.4785739212372331,0.02670045803039,17.92380942276452,7.687874983767564e-72,0.9571478424744662,0.8524839702538908,1.0618117146950414,2.604258116397481,2.3454656890280168,2.891605009848917,ratio of means,True,2.5863453815260993,2.3156046987468675,2.8887410861453855,ratio of marginal means (eight cells),1.1749264105338358e-63,1.1749264105338358e-63,main (Holm within endpoint),3.5247792316015075e-63,True,significant,False
n_engineered_features_selected,Engineered features selected,features,poisson,log,requested,B,effort,main,0.1795443146845357,0.02670045803039,6.72439081307824,1.7632858311745758e-11,0.3590886293690714,0.254424757148496,0.46375250158964676,1.4320237153058164,1.2897195055190827,1.5900293919900954,ratio of means,True,1.3877005347593565,1.2590085305532392,1.5295470423263913,ratio of marginal means (eight cells),4.156560502512271e-11,4.156560502512271e-11,main (Holm within endpoint),8.313121005024542e-11,True,significant,False
n_engineered_features_selected,Engineered features selected,features,poisson,log,requested,C,critic,main,0.0686344003768904,0.02670045803039,2.570532696434343,0.0101542240964229,0.1372688007537808,0.03260492853320546,0.24193267297435617,1.1471364582262618,1.0331422935621808,1.2737084349288543,ratio of means,True,1.1622276029055676,1.0480689590002663,1.288820730120754,ratio of marginal means (eight cells),0.0043720484122663,0.0043720484122663,main (Holm within endpoint),0.0043720484122663,True,significant,False
n_engineered_features_selected,Engineered features selected,features,poisson,log,requested,AB,model:effort,two-way,-0.0294219661777857,0.02670045803039,-1.101927395563707,0.2704932373618247,-0.1176878647111428,-0.3270156091522935,0.09163987973000791,0.8889734893103456,0.7210724876084897,1.0959700699684642,ratio of ratios (how much one factor's ratio shifts),False,1.1011764705882328,0.9943306383707904,1.219503425303261,ratio of marginal means (eight cells),0.0642005614950648,0.2704932373618247,exploratory,,,CI only (no verdict),False
n_engineered_features_selected,Engineered features selected,features,poisson,log,requested,AC,model:critic,two-way,0.0265547093405938,0.02670045803039,0.9945413412148124,0.3199593890603455,0.1062188373623752,-0.10310890707877551,0.3155465818035259,1.1120652112978173,0.9020287308179079,1.3710084744834021,ratio of ratios (how much one factor's ratio shifts),False,1.1161137440758284,1.0068180696730535,1.2372740689084831,ratio of marginal means (eight cells),0.0366905652644734,0.3199593890603455,exploratory,,,CI only (no verdict),False
n_engineered_features_selected,Engineered features selected,features,poisson,log,requested,BC,effort:critic,two-way,-0.0307615724231663,0.02670045803039,-1.152099053437738,0.2492803720677706,-0.1230462896926652,-0.33237403413381594,0.0862814547484855,0.8842227312150029,0.717219008287647,1.0901131026406812,ratio of ratios (how much one factor's ratio shifts),False,0.9626373626373615,0.8682095918182002,1.06733523872362,ratio of marginal means (eight cells),0.4697550544915645,0.2492803720677706,exploratory,,,CI only (no verdict),False
n_engineered_features_selected,Engineered features selected,features,poisson,log,requested,ABC,model:effort:critic,three-way,-0.00201600492795,0.02670045803039,-0.0755045072880584,0.9398133114786008,-0.0161280394236,-0.4347835283059014,0.40252744945870145,0.9840013210270698,0.6474047967235509,1.4955999780713332,ratio of ratio-of-ratios,False,0.984444444444443,0.8880781925006581,1.0912674946658032,ratio of marginal means (eight cells),0.7654906756962097,0.9398133114786008,exploratory,,,CI only (no verdict),False
prop_engineered_selected,Engineered share of selected features,proportion,beta,logit,requested,A,model,main,0.24906080191852,0.0240678380400239,10.348283111442807,4.260574658885327e-25,0.49812160383704,0.40377741234866016,0.5924657953254199,1.6456272258222129,1.49747059139721,1.8084421703671252,odds ratio,True,0.0725249082590254,0.0588645519603433,0.0861852645577075,difference of marginal means (eight cells),2.334187300453171e-25,2.334187300453171e-25,main (Holm within endpoint),7.002561901359514e-25,True,significant,False
prop_engineered_selected,Engineered share of selected features,proportion,beta,logit,requested,B,effort,main,0.0476939999375222,0.0240595944555561,1.9823276749582972,0.0474425785289243,0.0953879998750444,0.0010761226439853222,0.18969987710610348,1.1000856054086579,1.0010767018717126,1.2088867286239353,odds ratio,True,0.0107144752386607,-0.002945089461569,0.0243740399388904,difference of marginal means (eight cells),0.1241994927189167,0.1241994927189167,main (Holm within endpoint),0.2483989854378335,False,not significant,False
prop_engineered_selected,Engineered share of selected features,proportion,beta,logit,requested,C,critic,main,-0.0172330752851517,0.0240590023196029,-0.7162838698057903,0.4738160846855306,-0.0344661505703034,-0.12877570667107802,0.059843405530471225,0.966121041779297,0.8791711356534945,1.0616702818330341,odds ratio,False,-0.00866272266278,-0.0223222823256007,0.0049968370000406,difference of marginal means (eight cells),0.2138734511273955,0.2138734511273955,main (Holm within endpoint),0.2483989854378335,False,not significant,False
prop_engineered_selected,Engineered share of selected features,proportion,beta,logit,requested,AB,model:effort,two-way,-0.0702717069496486,0.0240599987906921,-2.9206862211827707,0.0034926139611163,-0.2810868277985944,-0.4697137521899295,-0.09245990340725926,0.754962780877984,0.6251811994213874,0.9116857657244519,ratio of odds ratios,True,-0.0179796864214926,-0.0316392829742194,-0.0043200898687658,difference of marginal means (eight cells),0.0098846849658771,0.0034926139611163,exploratory,,,CI only (no verdict),False
