endpoint,endpoint_label,unit,method,group1,group2,letter1,letter2,letters_share,estimate,ci_lo,ci_hi,p_raw,p_adj,significant
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+++,--+,d,ab,False,,,,0.0001602463653358,0.0042574900898991,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+++,---,d,a,False,,,,0.0001538463426057,0.0042574900898991,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,++-,+-+,cd,cd,True,,,,0.2864499596828914,1.0,False
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,++-,+--,cd,c,True,,,,0.0056492127774921,0.0508429149974297,False
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,++-,-++,cd,b,False,,,,0.0003180347981768,0.0050885567708299,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,++-,-+-,cd,b,False,,,,0.0003230556926118,0.0050885567708299,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,++-,--+,cd,ab,False,,,,0.0001678005162581,0.0042574900898991,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,++-,---,cd,a,False,,,,0.0001611765478272,0.0042574900898991,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+-+,+--,cd,c,True,,,,0.007517118328599,0.060136946628792,False
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+-+,-++,cd,b,False,,,,0.0001678005162581,0.0042574900898991,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+-+,-+-,cd,b,False,,,,0.0002561292392215,0.0043541970667659,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+-+,--+,cd,ab,False,,,,0.0001583979717831,0.0042574900898991,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+-+,---,cd,a,False,,,,0.0001520532174963,0.0042574900898991,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+--,-++,c,b,False,,,,0.003411591393725,0.037527505330975,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+--,-+-,c,b,False,,,,0.0018569523509148,0.0241403805618925,True
n_engineered_features_selected,Engineered features selected,features,Mann-Whitney U + Holm,+--,--+,c,ab,False,,,,0.0001649374219546,0.0042574900898991,True
